Condition,ETCost,StandardCost,HourlyCostGap,AnnualizedLoss,PercentGap
轻度弱通信,112.374252702527,114.604097587025,2.22984488449794,19533.4411882019,1.98430230312694
重度弱通信,112.37425270253,116.32967201781,3.95541931527998,34649.4732018526,3.51986261991039
