Scenario,DelaySteps,LossRate,TargetDemandMW,ETIterations,ETCommCount,EuclideanDistanceMW,RelativeErrorPercent,TheoreticalCost,ETADMMCost,CostGap,CostGapPercent,LambdaOptMean,LambdaOptStd,PStar1,PStar2,PStar3,PStar4,PStar5,POpt1,POpt2,POpt3,POpt4,POpt5,LambdaOpt1,LambdaOpt2,LambdaOpt3,LambdaOpt4,LambdaOpt5
Ideal communication,0,0,69.8589030290381,283,82,9.93432104648075e-05,0.0002599405966251,112.37425270222,112.374252702524,3.04112290905323e-10,2.70624527943414e-10,1.93888685158172,3.31560241353502e-06,13.5801621967734,8.45403998008355,28.1744942529944,20.2613482083483,-0.611141609161567,13.5801558244066,8.4540692674895,28.1744312093436,20.261322495697,-0.611075767898589,1.93888560967864,1.93888718630452,1.93888407386162,1.9388849648537,1.93889242321014
Light weak communication,2,0.2,69.8589030290381,325,97,9.93684680683074e-05,0.000260006685454849,112.37425270222,112.374252702527,3.06982883557794e-10,2.73179021151105e-10,1.93888685798246,3.34127538118785e-06,13.5801621967734,8.45403998008355,28.1744942529944,20.2613482083483,-0.611141609161567,13.5801552909091,8.45406877970944,28.1744317245263,20.2613223651988,-0.611075131305577,1.93888559047273,1.93888716386663,1.93888408828674,1.93888496041676,1.93889248686944
Heavy weak communication,5,0.5,69.8589030290381,391,121,9.97996251542862e-05,0.00026113484740617,112.37425270222,112.37425270253,3.09526626551815e-10,2.75442656221286e-10,1.93888686163283,3.35409991140504e-06,13.5801621967734,8.45403998008355,28.1744942529944,20.2613482083483,-0.611141609161567,13.5801560926718,8.45406887719204,28.1744317327165,20.2613212224958,-0.611074896037988,1.93888561933618,1.93888716835083,1.93888408851606,1.93888492156486,1.9388925103962
Communication outage recovery,2,0.2,69.8589030290381,325,97,9.99006493867572e-05,0.000261399186550629,112.37425270222,112.37425270253,3.10279801851721e-10,2.76112894538155e-10,1.93888686341128,3.35908538380678e-06,13.5801621967734,8.45403998008355,28.1744942529944,20.2613482083483,-0.611141609161567,13.5801552878993,8.45406891921384,28.1744313824074,20.2613222159244,-0.611074776406688,1.93888559036437,1.93888717028384,1.93888407870741,1.93888495534143,1.93889252235933
