timestamp_utc,node_1_solar_mw,node_1_ghi_wm2,node_2_solar_mw,node_2_ghi_wm2
2023-01-01 00:00:00,0.0056514987069605505,0.10666666666666667,0.0030109708431564908,0.07111111111111111
2023-01-01 01:00:00,1.5045839891736232,28.266666666666666,1.2507711078462391,29.404444444444444
2023-01-01 02:00:00,3.595428059982057,68.39111111111112,3.385340632924934,80.74666666666667
2023-01-01 03:00:00,7.279388626000849,139.48444444444445,6.2788104316291165,150.95111111111112
2023-01-01 04:00:00,7.894682898514699,151.52,7.363650120723059,177.65333333333334
2023-01-01 05:00:00,10.589634945300215,206.09777777777776,10.165239604307201,248.17777777777778
2023-01-01 06:00:00,13.139292889547514,254.86222222222221,12.928099394678139,309.8488888888889
2023-01-01 07:00:00,14.47443600130319,273.6,13.994222309310063,321.8666666666667
2023-01-01 08:00:00,13.318477981877276,239.68,12.481997560005416,271.5733333333333
2023-01-01 09:00:00,11.40853120404515,174.24,11.14892955250014,199.4488888888889
2023-01-01 10:00:00,8.738366275920425,56.0,9.699755115858547,67.52
2023-01-01 11:00:00,0.11753535640907505,2.24,0.12430293801113909,2.986666666666667
2023-01-01 12:00:00,0.0,0.0,0.0,0.0
2023-01-01 13:00:00,0.0,0.0,0.0,0.0
2023-01-01 14:00:00,0.0,0.0,0.0,0.0
2023-01-01 15:00:00,0.0,0.0,0.0,0.0
2023-01-01 16:00:00,0.0,0.0,0.0,0.0
2023-01-01 17:00:00,0.0,0.0,0.0,0.0
2023-01-01 18:00:00,0.0,0.0,0.0,0.0
2023-01-01 19:00:00,0.0,0.0,0.0,0.0
2023-01-01 20:00:00,0.0,0.0,0.0,0.0
2023-01-01 21:00:00,0.0,0.0,0.0,0.0
2023-01-01 22:00:00,0.0,0.0,0.0,0.0
2023-01-01 23:00:00,0.0,0.0,0.0,0.0
2023-01-02 00:00:00,0.0028484156948672865,0.05333333333333334,0.0015198332923960114,0.035555555555555556
2023-01-02 01:00:00,0.8154025723582351,15.217777777777778,0.8569640043217329,19.964444444444446
2023-01-02 02:00:00,2.7310716895406606,51.46666666666667,2.3796551670716033,56.07111111111111
2023-01-02 03:00:00,5.729024492237802,108.51555555555555,4.964753727569908,117.63555555555556
2023-01-02 04:00:00,6.335210250873548,120.33777777777777,4.7768651086951515,113.36888888888889
2023-01-02 05:00:00,8.097083594089932,155.14666666666668,5.482052308509291,131.11111111111111
2023-01-02 06:00:00,12.724944365224033,244.01777777777778,10.860011503130588,259.8933333333333
2023-01-02 07:00:00,7.708476582986626,147.32444444444445,6.3362060971199625,151.57333333333332
2023-01-02 08:00:00,8.13949698736646,154.24,6.222808089399153,147.89333333333335
2023-01-02 09:00:00,2.899919783272236,54.61333333333334,2.084917213914242,49.208888888888886
